Scheme Name,Scheme Code
DSP Short Term Fund - IDCW - Monthly,101306
Aditya Birla Sun Life Nifty 50 Index Fund -REGULAR - IDCW,101313
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Regular Plan,101314
Aditya Birla Sun Life Savings Fund-Retail Growth,101316
Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,101317
ICICI Prudential Nifty 50 Index Fund - Cumulative Option,101349
ICICI Prudential All Seasons Bond Fund Retail - Cumulative,101350
ICICI Prudential All Seasons Bond Fund - Weekly IDCW,101351
Franklin India Money Market Fund Retail Option - Quarterly - IDCW,101356
Franklin India Money Market Fund - Growth Option,101357
Franklin India Money Market Fund - Institutional Option - Growth,101358
Franklin India Money Market Fund - Institutional Option - Dividend,101359
Kotak Bond Short Term Plan-(Payout of Income Distribution cum capital withdrawal option),101372
Kotak Bond Short Term Plan-(Growth),101373
Baroda BNP Paribas LIQUID FUND-Defunct Plan- IDCW Option,101407
Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,101408
Baroda BNP Paribas LIQUID FUND-Defunct Plan-Daily IDCW Option,101409
Tata Childrens Fund -Regular Plan-Growth Option,101491
JM Short Term Fund - Regular Plan - Dividend Option,101519
JM Short Term Fund - Regular Plan - Growth Option,101520
JM Short Term Fund - Growth Option,101521
JM Short Term Fund - Dividend Option,101524
HDFC Nifty 50 Index Fund - Growth Plan,101525
SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),101530
Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),101538
Sundaram Mid Cap Fund Regular Plan - Growth,101539
Tata Short Term Bond Fund- Regular Plan - Monthly Payout of IDCW Option,101547
Tata Short Term Bond Fund -Regular Plan- Growth Option,101548
JM Liquid Fund (Regular) - Bonus Option - Principal Units,101549
SBI Equity Hybrid Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),101551
HDFC Equity Savings Fund - GROWTH PLAN,101585
HDFC Equity Savings Fund - IDCW PLAN,101586
CANARA ROBECO INCOME FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),101587
CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION,101588
Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,101591
Aditya Birla Sun Life MIDCAP Fund-Growth,101592
HSBC Large Cap Fund - Regular IDCW,101593
HSBC Large Cap Fund - Regular Growth,101594
Tata Medium Term Fund- Regular Plan - Payout of IDCW option,101605
TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option,101609
ICICI Prudential Savings Fund - Weekly IDCW,101617
ICICI Prudential Savings Fund - Daily IDCW,101618
ICICI Prudential Savings Fund - Growth,101619
DSP Large Cap Fund - Regular Plan - Growth,101635
DSP Large Cap Fund - Regular Plan - IDCW,101636
ICICI Prudential Long Term Bond Fund - Institutional Dividend Halfyearly,101642
ICICI Prudential Long Term Bond Fund-Institutional Option-Growth,101643
Franklin India Dynamic Asset Allocation Active Fund of Funds-Growth,101656
Franklin India Dynamic Asset Allocation Active Fund of funds - IDCW,101657
Tata Nifty 50 Index Fund -Regular Plan,101659
Nippon India Short Duration  Fund-Growth Plan,101665
NIPPON INDIA SHORT DURATION FUND - MONTHLY IDCW Option,101667
NIPPON INDIA SHORT DURATION FUND - QUARTERLY IDCW OPTION,101669
Tata Value Fund - Regular Plan -Growth Option,101672
HSBC Medium to Long Duration Fund - Regular Growth,101685
